bin_min_um;bin_max_um;count
0,000209474;0,000227147;0
0,000227147;0,00024631;0
0,00024631;0,00026709;0
0,00026709;0,000289624;0
0,000289624;0,000314058;0
0,000314058;0,000340554;0
0,000340554;0,000369285;0
0,000369285;0,00040044;0
0,00040044;0,000434224;0
0,000434224;0,000470857;0
0,000470857;0,000510582;0
0,000510582;0,000553657;0
0,000553657;0,000600367;0
0,000600367;0,000651018;0
0,000651018;0,000705941;0
0,000705941;0,000765499;0
0,000765499;0,000830081;0
0,000830081;0,000900112;0
0,000900112;0,00097605;0
0,00097605;0,00106;0
0,00106;0,00115;0
0,00115;0,00124;0
0,00124;0,00135;0
0,00135;0,00146;0
0,00146;0,00159;0
0,00159;0,00172;0
0,00172;0,00187;0
0,00187;0,00202;0
0,00202;0,00219;0
0,00219;0,00238;0
0,00238;0,00258;0
0,00258;0,0028;0
0,0028;0,00303;0
0,00303;0,00329;0
0,00329;0,00357;0
0,00357;0,00387;0
0,00387;0,00419;0
0,00419;0,00455;0
0,00455;0,00493;0
0,00493;0,00535;0
0,00535;0,0058;0
0,0058;0,00629;0
0,00629;0,00682;0
0,00682;0,00739;0
0,00739;0,00802;0
0,00802;0,00869;0
0,00869;0,00943;0
0,00943;0,01022;0
0,01022;0,01109;0
0,01109;0,01202;0
0,01202;0,01303;0
0,01303;0,01413;0
0,01413;0,01533;0
0,01533;0,01662;0
0,01662;0,01802;0
0,01802;0,01954;0
0,01954;0,02119;0
0,02119;0,02298;0
0,02298;0,02492;0
0,02492;0,02702;0
0,02702;0,0293;0
0,0293;0,03177;0
0,03177;0,03445;0
0,03445;0,03736;0
0,03736;0,04051;0
0,04051;0,04393;0
0,04393;0,04763;0
0,04763;0,05165;0
0,05165;0,05601;0
0,05601;0,06074;0
0,06074;0,06586;0
0,06586;0,07142;0
0,07142;0,07744;0
0,07744;0,08397;0
0,08397;0,09106;0
0,09106;0,09874;0
0,09874;0,10707;0
0,10707;0,1161;0
0,1161;0,1259;0
0,1259;0,13652;0
0,13652;0,14804;0
0,14804;0,16053;0
0,16053;0,17407;0
0,17407;0,18876;0
0,18876;0,20468;0
0,20468;0,22195;0
0,22195;0,24068;2
0,24068;0,26098;2
0,26098;0,283;2
0,283;0,30687;3
0,30687;0,33276;5
0,33276;0,36084;7
0,36084;0,39128;12
0,39128;0,42429;10
0,42429;0,46009;13
0,46009;0,4989;54
0,4989;0,54099;29
0,54099;0,58663;1
0,58663;0,63613;1
0,63613;0,68979;0
0,68979;0,74799;0
0,74799;0,81109;0
0,81109;0,87952;0
0,87952;0,95372;0
0,95372;1,03418;0
1,03418;1,12143;0
1,12143;1,21604;0
1,21604;1,31864;0
1,31864;1,42989;0
1,42989;1,55052;0
1,55052;1,68133;0
1,68133;1,82318;0
1,82318;1,97699;0
1,97699;2,14378;0
2,14378;2,32464;0
2,32464;2,52077;0
2,52077;2,73343;0
2,73343;2,96404;0
2,96404;3,21411;0
3,21411;3,48527;0
3,48527;3,7793;0
3,7793;4,09815;0
4,09815;4,44389;0
4,44389;4,81881;0
4,81881;5,22535;0
5,22535;5,66619;0
5,66619;6,14423;0
6,14423;6,66259;0
6,66259;7,22469;0
7,22469;7,8342;0
7,8342;8,49514;0
8,49514;9,21184;0
9,21184;9,98901;0
9,98901;10,8317;0
10,8317;11,7456;0
11,7456;12,7365;0
12,7365;13,811;0
13,811;14,9762;0
14,9762;16,2397;0
16,2397;17,6098;0
17,6098;19,0954;0
