file,folder,filename,acquired,microscope_type,software_version,image_width_px,image_height_px,HV_kV,spot_size,WD_mm,pixel_width_nm,pixel_height_nm,HFW_um,VFW_um,magnification_x,dwell_time_us,frame_time_s,line_integration,detector_name,detector_signal,vacuum_mode,chamber_pressure_mbar,active_stage,scan_rotation_deg
H:\Daten Promotion Sicherung\Diffusion in Hydrogel Data\SEM Particles\100 nm\100nm_01.tif,100 nm,100nm_01.tif,12/17/2025 10:43:19 AM,SEM,13.9.1.6395,1536,1094,2.0,5.0,9.834769999999999,2.2482599999999997,2.2482599999999997,3.4533300000000002,2.3022199999999997,150000.14478778455,5.0,31.7545,4.0,ETD,SE,High vacuum,0.00129352,Bulk,0.0
H:\Daten Promotion Sicherung\Diffusion in Hydrogel Data\SEM Particles\100 nm\100nm_02.tif,100 nm,100nm_02.tif,12/17/2025 10:49:08 AM,SEM,13.9.1.6395,1536,1024,2.0,5.0,9.86075,1.79861,1.79861,2.76267,1.84178,187499.773769578,5.0,31.7545,4.0,ETD,SE,High vacuum,0.000887326,Bulk,0.0
H:\Daten Promotion Sicherung\Diffusion in Hydrogel Data\SEM Particles\100 nm\100nm_T1_03.tif,100 nm,100nm_T1_03.tif,12/17/2025 11:13:08 AM,SEM,13.9.1.6395,1536,1024,2.0,5.0,2.50217,1.79861,1.79861,2.76267,1.84178,187499.773769578,5.0,31.7545,4.0,T1,BSE,High vacuum,0.000442414,Bulk,0.0
H:\Daten Promotion Sicherung\Diffusion in Hydrogel Data\SEM Particles\100 nm\100nm_T1_04.tif,100 nm,100nm_T1_04.tif,12/17/2025 11:19:03 AM,SEM,13.9.1.6395,1536,1024,2.0,5.0,2.49111,1.3489600000000002,1.3489600000000002,2.0719999999999996,1.38133,250000.00000000003,5.0,31.7545,4.0,T1,BSE,High vacuum,0.000408451,Bulk,0.0
H:\Daten Promotion Sicherung\Diffusion in Hydrogel Data\SEM Particles\100 nm\100nm_T2_03.tif,100 nm,100nm_T2_03.tif,12/17/2025 11:12:34 AM,SEM,13.9.1.6395,1536,1094,2.0,5.0,2.50217,1.79861,1.79861,2.76267,1.84178,187499.773769578,5.0,31.7545,4.0,T2,SE,High vacuum,0.00044625,Bulk,0.0
H:\Daten Promotion Sicherung\Diffusion in Hydrogel Data\SEM Particles\100 nm\100nm_T2_04.tif,100 nm,100nm_T2_04.tif,12/17/2025 11:19:03 AM,SEM,13.9.1.6395,1536,1094,2.0,5.0,2.49111,1.3489600000000002,1.3489600000000002,2.0719999999999996,1.38133,250000.00000000003,5.0,31.7545,4.0,T2,SE,High vacuum,0.000408451,Bulk,0.0
H:\Daten Promotion Sicherung\Diffusion in Hydrogel Data\SEM Particles\1000 nm\1000nm_10kx_001.tif,1000 nm,1000nm_10kx_001.tif,10/31/2025 11:12:54 AM,SEM,13.9.1.6395,768,547,1.5,5.0,10.0047,53.9583,53.9583,41.440000000000005,27.6267,12500.0,1.0,0.410172,1.0,ETD,SE,High vacuum,0.000982927,Bulk,0.0
H:\Daten Promotion Sicherung\Diffusion in Hydrogel Data\SEM Particles\1000 nm\1000nm_10kx_004.tif,1000 nm,1000nm_10kx_004.tif,10/31/2025 11:18:27 AM,SEM,13.9.1.6395,1536,1094,1.5,5.0,9.99511,26.9792,26.9792,41.440000000000005,27.6267,12500.0,5.0,31.7545,4.0,ETD,SE,High vacuum,0.000934913,Bulk,0.0
H:\Daten Promotion Sicherung\Diffusion in Hydrogel Data\SEM Particles\1000 nm\1000nm_15kx_002.tif,1000 nm,1000nm_15kx_002.tif,10/31/2025 11:14:53 AM,SEM,13.9.1.6395,1536,1094,1.5,5.0,10.0076,17.986099999999997,17.986099999999997,27.6267,18.4178,18749.9773769578,0.09999999999999999,0.18607,1.0,ETD,SE,High vacuum,0.000966515,Bulk,0.0
H:\Daten Promotion Sicherung\Diffusion in Hydrogel Data\SEM Particles\1000 nm\1000nm_20kx_003.tif,1000 nm,1000nm_20kx_003.tif,10/31/2025 11:16:55 AM,SEM,13.9.1.6395,1536,1094,1.5,5.0,9.99511,13.4896,13.4896,20.720000000000002,13.8133,25000.0,5.0,31.7545,4.0,ETD,SE,High vacuum,0.000956139,Bulk,0.0
H:\Daten Promotion Sicherung\Diffusion in Hydrogel Data\SEM Particles\1000 nm\1000nm_25kx_005.tif,1000 nm,1000nm_25kx_005.tif,10/31/2025 11:19:41 AM,SEM,13.9.1.6395,768,547,1.5,5.0,9.98182,21.583299999999998,21.583299999999998,16.575999999999997,11.0507,31250.000000000004,1.0,0.410172,1.0,ETD,SE,High vacuum,0.000931287,Bulk,0.0
H:\Daten Promotion Sicherung\Diffusion in Hydrogel Data\SEM Particles\20 nm\20nm_T1_01.tif,20 nm,20nm_T1_01.tif,12/17/2025 11:42:53 AM,SEM,13.9.1.6395,1536,1024,3.0,5.0,2.9974200000000004,0.415064,0.415064,0.637538,0.42502599999999996,812500.5882002327,5.0,31.7545,4.0,T1,BSE,High vacuum,0.000333725,Bulk,0.241014
H:\Daten Promotion Sicherung\Diffusion in Hydrogel Data\SEM Particles\20 nm\20nm_T1_02.tif,20 nm,20nm_T1_02.tif,12/17/2025 12:13:20 PM,SEM,13.9.1.6395,1536,1024,1.0,5.0,3.9394199999999997,0.539583,0.539583,0.8288,0.5525329999999999,625000.0,5.0,31.7545,4.0,T1,BSE,High vacuum,0.000293689,Bulk,0.241014
H:\Daten Promotion Sicherung\Diffusion in Hydrogel Data\SEM Particles\20 nm\20nm_T1_03.tif,20 nm,20nm_T1_03.tif,12/17/2025 12:15:18 PM,SEM,13.9.1.6395,1536,1024,1.0,5.0,3.9394199999999997,0.539583,0.539583,0.8288,0.5525329999999999,625000.0,5.0,31.7545,4.0,T1,BSE,High vacuum,0.000290662,Bulk,0.241014
H:\Daten Promotion Sicherung\Diffusion in Hydrogel Data\SEM Particles\20 nm\20nm_T1_04.tif,20 nm,20nm_T1_04.tif,12/17/2025 12:16:36 PM,SEM,13.9.1.6395,1536,1024,1.0,5.0,3.9394199999999997,0.539583,0.539583,0.8288,0.5525329999999999,625000.0,5.0,31.7545,4.0,T1,BSE,High vacuum,0.000306382,Bulk,0.241014
H:\Daten Promotion Sicherung\Diffusion in Hydrogel Data\SEM Particles\20 nm\20nm_T1_05.tif,20 nm,20nm_T1_05.tif,12/17/2025 12:18:34 PM,SEM,13.9.1.6395,1536,1024,1.0,5.0,3.93857,0.539583,0.539583,0.8288,0.5525329999999999,625000.0,5.0,31.7545,4.0,T1,BSE,High vacuum,0.000305062,Bulk,0.241014
H:\Daten Promotion Sicherung\Diffusion in Hydrogel Data\SEM Particles\20 nm\20nm_T2_01.tif,20 nm,20nm_T2_01.tif,12/17/2025 11:42:53 AM,SEM,13.9.1.6395,1536,1024,3.0,5.0,2.9974200000000004,0.415064,0.415064,0.637538,0.42502599999999996,812500.5882002327,5.0,31.7545,4.0,T2,SE,High vacuum,0.000333725,Bulk,0.241014
H:\Daten Promotion Sicherung\Diffusion in Hydrogel Data\SEM Particles\20 nm\20nm_T2_02.tif,20 nm,20nm_T2_02.tif,12/17/2025 12:13:20 PM,SEM,13.9.1.6395,1536,1024,1.0,5.0,3.9394199999999997,0.539583,0.539583,0.8288,0.5525329999999999,625000.0,5.0,31.7545,4.0,T2,SE,High vacuum,0.000293689,Bulk,0.241014
H:\Daten Promotion Sicherung\Diffusion in Hydrogel Data\SEM Particles\20 nm\20nm_T2_03.tif,20 nm,20nm_T2_03.tif,12/17/2025 12:15:18 PM,SEM,13.9.1.6395,1536,1024,1.0,5.0,3.9394199999999997,0.539583,0.539583,0.8288,0.5525329999999999,625000.0,5.0,31.7545,4.0,T2,SE,High vacuum,0.000290662,Bulk,0.241014
