detector_name,detector_signal,HV_kV,spot_size,dwell_time_us,line_integration,vacuum_mode,n_files,magnification_min_x,magnification_max_x,folders,example_files
T2,SE,1.0,5.0,5.0,4.0,High vacuum,17,250000.00000000003,625000.0,"20 nm, 50 nm","20nm_T2_02.tif, 20nm_T2_03.tif, 20nm_T2_04.tif, ..."
T1,BSE,1.0,5.0,5.0,4.0,High vacuum,7,437500.0,625000.0,"20 nm, 50 nm","20nm_T1_02.tif, 20nm_T1_03.tif, 20nm_T1_04.tif, ..."
T2,SE,2.0,5.0,5.0,4.0,High vacuum,6,31250.000000000004,250000.00000000003,"100 nm, 500 nm","100nm_T2_03.tif, 100nm_T2_04.tif, 500nm_T2_01.tif, ..."
T1,BSE,2.0,5.0,5.0,4.0,High vacuum,6,31250.000000000004,250000.00000000003,"100 nm, 500 nm","100nm_T1_03.tif, 100nm_T1_04.tif, 500nm_T1_01.tif, ..."
ETD,SE,2.0,4.0,5.0,4.0,High vacuum,6,62500.00000000001,125000.00000000001,200 nm,"Latex particle_200nm_001.tif, Latex particle_200nm_002.tif, Latex particle_200nm_003.tif, ..."
T2,SE,2.0,4.0,5.0,4.0,High vacuum,4,250000.00000000003,312500.0,200 nm,"Latex particle_Cpad_T2_200nm_001.tif, Latex particle_Cpad_T2_200nm_002.tif, Latex particle_T2_200nm_001.tif, ..."
ETD,SE,1.5,5.0,1.0,1.0,High vacuum,2,12500.0,31250.000000000004,1000 nm,"1000nm_10kx_001.tif, 1000nm_25kx_005.tif"
T2,SE,3.0,4.0,5.0,4.0,High vacuum,2,250000.00000000003,437500.0,20 nm,"Latex particle_T2_20nm_002.tif, Latex particle_T2_20nm_003.tif"
ETD,SE,1.5,5.0,5.0,4.0,High vacuum,2,12500.0,25000.0,1000 nm,"1000nm_10kx_004.tif, 1000nm_20kx_003.tif"
ETD,SE,2.0,5.0,5.0,4.0,High vacuum,2,150000.14478778455,187499.773769578,100 nm,"100nm_01.tif, 100nm_02.tif"
ETD,SE,2.0,4.0,3.0,4.0,High vacuum,1,125000.00000000001,125000.00000000001,200 nm,Latex particle_Cpad_200nm_003.tif
ETD,SE,1.5,5.0,0.09999999999999999,1.0,High vacuum,1,18749.9773769578,18749.9773769578,1000 nm,1000nm_15kx_002.tif
T1,BSE,3.0,5.0,5.0,4.0,High vacuum,1,812500.5882002327,812500.5882002327,20 nm,20nm_T1_01.tif
T2,SE,3.0,5.0,5.0,4.0,High vacuum,1,812500.5882002327,812500.5882002327,20 nm,20nm_T2_01.tif
