label,x_px,y_px,x_init_px,y_init_px,center_offset_px,area_px,circularity,eq_diam_px,eq_diam_nm,refined_diam_px,refined_diam_nm,radius_change_factor,quality_score,gradient_sharpness,profile_symmetry,edge_contrast,center_quality,angular_variance,angular_cv,mean_intensity,max_intensity
2,1307.506603518331,309.65191251623924,1305.035559520775,308.41639051746114,2.7627111769641353,7846.0,0.652871181941936,99.94917442376443,539.3087538309809,95.8486954730459,517.1832664943253,0.041025641024820085,0.7685996083441022,5240.103188160047,0.900983035698561,0.25705003845245433,0.6548170965483657,7774978.673954746,0.05271439998606369,50137.444940096866,63029.0
3,101.64556416881999,273.6370944587999,101.64556416881999,273.6370944587999,0.0,6966.0,0.908599560239773,94.17742122518085,508.1653547694676,96.10926576313327,518.5892594826873,0.020512820512384757,0.8159008061639659,8126.247695586213,0.8794204165161686,0.3525072529629472,0.49393107595437885,27691847.3845306,0.10245739713132837,50400.71231696813,62885.0
4,580.2286519871107,338.87406015037595,580.2286519871107,338.87406015037595,0.0,7448.0,0.8298132775652304,97.38114873622868,525.4521237854049,97.38114873622867,525.4521237854048,1.4593024316649166e-16,0.825930876373546,6949.2464625711045,0.9056502059309868,0.29956025283860643,0.464451078155241,35322190.63718997,0.11530792951798337,50490.196965628355,63524.0
5,906.6482288037166,649.6581010452961,906.6482288037166,649.6581010452961,0.0,6888.0,0.9046583775527369,93.6486731573694,505.31232008272855,95.56967158111031,515.6777010075025,0.020512820512382443,0.8441789732747111,10209.90033648875,0.8877426344690456,0.41544557166036866,0.5962319448027231,12109556.630303795,0.06771996346671307,50360.3931475029,62948.0
6,721.8768745486672,134.8558102471151,720.6413525498891,133.62028824833703,1.7472919672822391,7216.0,0.6410942535051324,95.85247286746927,517.2036486724768,95.85247286746926,517.2036486724767,1.4825757009476607e-16,0.8640135597828003,8658.680756048652,0.9098697414658712,0.3487991520623723,0.5432380400950496,18644724.370161764,0.0840813651093048,50129.2229767184,63930.0
7,527.7761236759233,518.7457772688234,527.7761236759233,518.7457772688234,0.0,6986.0,0.912634527850041,94.31252016312493,508.8943256717944,96.24713596134286,519.3331836342927,0.02051282051238537,0.8561343019775227,10046.61483707707,0.88597806474606,0.41013249326646395,0.6728475009852428,6447922.586279025,0.048622087253903976,50604.66890924706,63310.0
8,551.6335413666187,986.6666666666666,551.6335413666187,986.6666666666666,0.0,6249.0,0.8795829873234503,89.19906902569124,481.3030126208956,91.02879351852593,491.1758949310678,0.020512820512360506,0.7785925872980063,4972.942342166187,0.9191264008663684,0.20940527131894077,0.6269025339652058,9288144.914086495,0.05951442940817684,50375.72619619139,62657.0
9,1267.5530570252793,472.81893004115227,1267.5530570252793,472.81893004115227,0.0,6804.0,0.9018536485160418,93.0758930248754,502.22169586041343,94.98514211256514,512.5236793652424,0.020512820512379657,0.8451974704550005,10195.929800203616,0.8858118840840942,0.4131451665008336,0.7132503536169099,4374333.701402076,0.04020322526711352,50979.835097001764,63089.0
11,287.90581792284286,796.1524288107203,286.67029592406476,796.1524288107203,1.235521998778097,7164.0,0.8337443391094281,95.50648197103014,515.3367406137436,95.50648197103013,515.3367406137435,1.4879466211743593e-16,0.7966933961180598,6455.242728200237,0.8937534179873822,0.2794116467276882,0.6304142303967105,8784896.047203615,0.05862586086781616,49750.23045784478,62188.0
12,317.1651099295876,952.9689610576232,317.1651099295876,952.9689610576232,0.0,6959.0,0.8847365139152281,94.13009078829148,507.90996777818685,94.13009078829148,507.90996777818685,0.0,0.8714562814922087,9210.334585623086,0.9346694477383138,0.3595443617036506,0.569979749020041,15242940.011636041,0.07544482970128104,50387.725535278056,63187.0
